The parameter values used or converged in the simulated result:
Initial LAI  = 0.0066239
Parameter a =   0.20393
Parameter b = 0.0084947
Parameter c =   0.28784

Estimated grain yield (kg/ha) :
    0.0

DOY  DAP   GDD   OLAI    LAI    AGDM    NPP    GPP    ETc    PGP
141   0    0.0    nan   0.03     0.0   0.05   0.00   0.00    0.0
142   1    7.1    nan   0.03     0.1   0.10   1.48   0.72    0.0
143   2   16.5    nan   0.03     0.4   0.12   1.37   0.61    0.0
144   3   28.8    nan   0.04     0.7   0.16   1.35   0.70    0.0
145   4   39.0    nan   0.04     1.1   0.21   1.18   0.92    0.0
146   5   47.0    nan   0.06     1.7   0.18   1.44   0.70    0.0
147   6   56.3    nan   0.07     2.2   0.21   0.94   0.65    0.0
148   7   64.6    nan   0.08     2.7   0.32   1.54   0.52    0.0
149   8   72.8    nan   0.10     3.5   0.60   1.60   0.35    0.0
150   9   82.3    nan   0.13     5.1   0.82   1.41   0.51    0.0
151  10   94.6    nan   0.15     7.2   1.06   1.08   0.66    0.0
152  11  108.2    nan   0.19     9.9   1.34   1.61   0.52    0.0
153  12  121.5    nan   0.22    13.4   1.35   1.75   0.77    0.0
154  13  135.2    nan   0.27    16.9   0.39   1.86   1.24    0.0
155  14  145.1    nan   0.31    17.9   2.38   1.42   1.28    0.0
156  15  155.8    nan   0.37    24.0   2.29   1.49   1.43    0.0
157  16  166.8    nan   0.42    30.0   3.02   2.25   0.68    0.0
158  17  179.8    nan   0.49    37.8   3.65   1.38   0.65    0.0
159  18  193.7   0.61   0.55    47.3   4.76   2.60   0.86    0.0
160  19  209.0    nan   0.62    59.6   5.62   2.73   0.78    0.0
161  20  225.1    nan   0.70    74.1   2.71   1.62   1.25    0.0
162  21  238.9    nan   0.77    81.2   5.59   1.32   1.16    0.0
163  22  253.7    nan   0.85    95.6   5.71   1.16   0.82    0.0
164  23  269.5    nan   0.92   110.5   7.24   3.28   0.81    0.0
165  24  284.6    nan   1.00   129.2   6.11   3.61   1.29    0.0
166  25  297.8    nan   1.07   145.0   1.93   1.49   1.46    0.0
167  26  308.8    nan   1.15   150.0   8.04   3.89   0.80    0.0
168  27  322.7    nan   1.22   170.9   3.69   2.48   1.10    0.0
169  28  335.5    nan   1.29   180.4   3.76   4.30   1.02    0.0
170  29  346.8    nan   1.35   190.2   8.81   3.33   0.62    0.0
171  30  360.7    nan   1.42   213.0  10.22   3.82   1.22    0.0
172  31  375.2    nan   1.48   239.5  11.91   1.95   1.47    0.0
173  32  391.3    nan   1.54   270.4   9.97   5.10   1.02    0.0
174  33  405.9    nan   1.59   296.2   6.45   5.15   0.80    0.0
175  34  420.1    nan   1.64   312.9   6.74   5.36   0.96    0.0
176  35  433.8    nan   1.69   330.4   7.70   4.21   0.88    0.0
177  36  447.9    nan   1.73   350.4   7.20   2.97   1.16    0.0
178  37  462.6   1.59   1.77   369.1   8.38   5.06   1.31    0.0
179  38  477.4    nan   1.81   390.8   6.61   5.77   1.53    0.0
180  39  491.8    nan   1.84   407.9   8.04   5.82   0.76    0.0
181  40  506.3    nan   1.87   428.8   7.01   5.60   1.22    0.0
182  41  521.0    nan   1.89   446.9  10.52   4.26   1.46    0.0
183  42  536.8    nan   1.91   474.2   7.63   5.50   1.36    0.0
184  43  553.6    nan   1.93   494.0   2.49   5.91   1.79    0.0
185  44  567.5    nan   1.95   500.4   3.97   3.65   2.12    0.0
186  45  581.2    nan   1.96   510.7   2.32   3.41   1.65    0.0
187  46  592.8    nan   1.97   516.7   1.48   5.33   1.18    0.0
188  47  605.8    nan   1.98   520.6   3.13   3.24   1.13    0.0
189  48  621.7    nan   1.99   528.7   5.24   4.15   0.53    0.0
190  49  638.2    nan   2.00   542.3   7.98   6.27   0.70    0.0
191  50  655.1    nan   2.00   563.0   8.62   5.81   1.49    0.0
192  51  672.6    nan   2.01   585.3   7.97   6.21   1.92    0.0
193  52  690.1    nan   2.02   606.0   9.55   5.96   2.46    0.0
194  53  708.7    nan   2.02   630.7  10.06   5.89   2.15    0.0
195  54  727.6   2.10   2.03   656.8   7.32   2.78   1.32    0.0
196  55  746.3    nan   2.03   675.8  11.76   1.57   1.19    0.0
197  56  765.0    nan   2.03   706.3   8.15   5.77   0.79    0.0
198  57  782.8    nan   2.04   727.4  10.55   6.27   1.75    0.0
199  58  799.3    nan   2.04   754.7  10.02   3.03   1.83    0.0
200  59  817.1    nan   2.04   780.7   9.43   1.92   1.30    0.0
201  60  835.4    nan   2.04   805.2   7.94   5.81   1.84    0.0
202  61  853.2    nan   2.04   825.7  11.89   6.38   1.23    0.0
203  62  872.4    nan   2.03   856.6  10.72   2.72   1.71    0.0
204  63  890.7   2.14   2.03   884.4  10.18   6.65   1.02    0.0
205  64  909.7    nan   2.02   910.7  10.41   5.64   2.35    0.0
206  65  929.0    nan   2.01   937.7  10.41   5.16   2.02    0.0
207  66  948.7    nan   2.00   964.7   9.23   6.65   1.57    0.0
208  67  967.5    nan   1.99   988.6   9.02   6.34   1.95    0.0
209  68  986.1   2.05   1.98  1012.0   8.59   6.66   1.81    0.0
210  69 1005.4    nan   1.97  1034.2   9.25   6.11   2.44    0.0
211  70 1025.2    nan   1.95  1058.2   8.88   2.94   2.40    0.0
212  71 1043.6    nan   1.94  1081.2  10.29   6.48   1.35    0.0
213  72 1063.2    nan   1.92  1107.9   7.08   6.45   2.10    0.0
214  73 1082.4    nan   1.91  1126.3   5.54   5.85   2.06    0.0
215  74 1099.8    nan   1.90  1140.6   7.44   6.51   2.56    0.0
216  75 1117.1    nan   1.89  1159.9  10.02   6.44   2.22    0.0
217  76 1136.0   2.07   1.88  1185.9   7.78   6.54   2.61    0.0
218  77 1155.0    nan   1.87  1206.0  10.44   6.04   2.74    0.0
219  78 1172.3    nan   1.86  1233.1  10.93   1.93   2.54    0.0
220  79 1190.8    nan   1.85  1261.5   4.38   5.70   1.60    0.0
221  80 1207.2    nan   1.84  1272.8  11.16   6.76   1.43    0.0
222  81 1225.0    nan   1.84  1301.7   8.61   6.57   1.77    0.0
223  82 1243.5    nan   1.83  1324.0   7.61   5.27   2.44    0.0
224  83 1260.2    nan   1.83  1343.8   6.11   6.69   2.28    0.0
225  84 1276.8    nan   1.82  1359.6   4.87   6.42   3.00    0.0
226  85 1293.0    nan   1.82  1372.2   6.62   2.08   3.41    0.0
227  86 1308.0    nan   1.82  1389.4   7.04   5.00   1.79    0.0
228  87 1324.3   1.63   1.81  1407.6   7.03   5.95   2.00    0.0
229  88 1340.1    nan   1.81  1425.9  10.44   6.47   2.24    0.0
230  89 1355.7    nan   1.81  1452.9   5.83   6.41   2.82    0.0
231  90 1370.1    nan   1.81  1468.0   6.56   5.24   3.32    0.0
232  91 1384.3    nan   1.81  1485.0   9.15   4.87   2.92    0.0
233  92 1399.2    nan   1.81  1508.8   1.62   1.78   2.60    0.0
234  93 1413.8    nan   1.80  1512.9   7.78   1.82   1.93    0.0
235  94 1429.9    nan   1.80  1533.1   0.00   7.03   1.34    0.0
236  95 1444.3    nan   1.80  1533.1   0.00   6.42   2.72    0.0
237  96 1459.5    nan   1.80  1533.1   3.57   6.95   2.81    0.0
238  97 1475.5    nan   1.80  1542.4   8.97   6.98   3.36    0.0
239  98 1492.7    nan   1.80  1565.6   3.23   6.80   2.60    0.0
240  99 1507.3    nan   1.80  1574.0   0.00   6.66   3.01    0.0
