The parameter values used or converged in the simulated result:
Initial LAI  =  0.015299
Parameter a = 1.7286e-14
Parameter b = 0.00086156
Parameter c = 0.00060179

Estimated grain yield (kg/ha) :
 4555.5

DOY  DAP   GDD   OLAI    LAI    AGDM    NPP    GPP    ETc    PGP
 58   0    0.0    nan   0.02     0.0   0.06   0.00   0.00    0.0
 59   1    8.0    nan   0.03     0.1   0.01   1.24   0.86    0.0
 60   2   15.7    nan   0.03     0.2   0.07   1.50   1.00    0.0
 61   3   18.2    nan   0.03     0.3   0.10   1.10   0.67    0.0
 62   4   23.1    nan   0.03     0.6   0.10   1.23   0.54    0.0
 63   5   33.2    nan   0.03     0.9   0.08   1.54   0.73    0.0
 64   6   48.3    nan   0.04     1.1   0.04   0.87   0.89    0.0
 65   7   60.0    nan   0.04     1.2   0.16   0.71   0.89    0.0
 66   8   69.5    nan   0.05     1.6   0.07   0.87   0.57    0.0
 67   9   77.4    nan   0.05     1.8   0.05   0.36   0.59    0.0
 68  10   81.2    nan   0.06     1.9   0.15   0.51   0.51    0.0
 69  11   87.0    nan   0.07     2.3   0.24   0.92   0.46    0.0
 70  12   94.0    nan   0.08     2.9   0.27   1.38   0.51    0.0
 71  13  102.6    nan   0.08     3.6   0.33   1.44   0.86    0.0
 72  14  113.6    nan   0.09     4.5   0.37   1.62   1.07    0.0
 73  15  127.1    nan   0.10     5.5   0.38   0.54   1.16    0.0
 74  16  144.3    nan   0.11     6.4   0.05   1.17   0.86    0.0
 75  17  157.4    nan   0.12     6.6   0.14   1.60   0.75    0.0
 76  18  166.5    nan   0.14     6.9   0.56   1.74   1.05    0.0
 77  19  176.3    nan   0.15     8.4   0.24   1.72   1.08    0.0
 78  20  185.8    nan   0.16     9.0   0.12   1.64   1.16    0.0
 79  21  197.4    nan   0.18     9.3   0.02   1.50   1.13    0.0
 80  22  204.9    nan   0.20     9.4   0.00   1.70   1.12    0.0
 81  23  207.4    nan   0.22     9.4   0.01   1.82   0.68    0.0
 82  24  214.3    nan   0.25     9.4   0.69   1.95   0.42    0.0
 83  25  222.2    nan   0.28    11.2   0.83   2.04   0.47    0.0
 84  26  232.2    nan   0.32    13.3   1.07   2.09   0.45    0.0
 85  27  244.8    nan   0.37    16.1   1.20   2.05   0.82    0.0
 86  28  259.1    nan   0.42    19.2   1.42   2.17   0.74    0.0
 87  29  274.2    nan   0.47    22.9   1.77   2.28   0.62    0.0
 88  30  290.2    nan   0.54    27.5   1.47   1.76   0.80    0.0
 89  31  308.9    nan   0.61    31.3   2.04   2.75   0.86    0.0
 90  32  327.0    nan   0.69    36.6   2.44   2.50   0.92    0.0
 91  33  344.6    nan   0.77    42.9   1.73   2.78   0.90    0.0
