The parameter values used or converged in the simulated result:
Initial LAI  =  0.011523
Parameter a =   0.15995
Parameter b =  0.002923
Parameter c = 8.947e-225

Estimated grain yield (kg/ha) :
    0.0

DOY  DAP   GDD   OLAI    LAI    AGDM    NPP    GPP    ETc    PGP
149   0    0.0    nan   0.02     0.0   0.06   0.00   0.00    0.0
150   1    7.5    nan   0.02     0.2   0.07   1.37   0.72    0.0
151   2   17.8    nan   0.02     0.3   0.08   1.26   0.61    0.0
152   3   29.4    nan   0.02     0.5   0.09   1.25   0.70    0.0
153   4   40.7    nan   0.03     0.8   0.08   1.08   0.92    0.0
154   5   52.4    nan   0.03     1.0   0.02   1.31   0.70    0.0
155   6   60.3    nan   0.03     1.0   0.13   0.85   0.65    0.0
156   7   69.0    nan   0.04     1.4   0.12   1.39   0.52    0.0
157   8   78.0    nan   0.04     1.7   0.15   1.44   0.35    0.0
158   9   89.0    nan   0.05     2.1   0.17   1.24   0.51    0.0
159  10  100.8    nan   0.05     2.5   0.22   0.93   0.66    0.0
160  11  114.1    nan   0.06     3.1   0.26   1.35   0.52    0.0
161  12  128.3    nan   0.07     3.7   0.13   1.42   0.77    0.0
162  13  140.1    nan   0.07     4.1   0.26   1.45   1.24    0.0
163  14  152.9    nan   0.08     4.7   0.28   1.13   1.28    0.0
164  15  166.7    nan   0.09     5.5   0.36   1.13   1.43    0.0
165  16  179.8    nan   0.10     6.4   0.32   1.60   0.68    0.0
166  17  191.0    nan   0.11     7.2   0.11   0.98   0.65    0.0
167  18  200.0    nan   0.12     7.5   0.45   1.65   0.86    0.0
168  19  211.8    nan   0.14     8.7   0.22   1.64   0.78    0.0
169  20  222.6    nan   0.15     9.3   0.24   0.98   1.25    0.0
170  21  231.9    nan   0.17     9.9   0.57   0.80   1.16    0.0
171  22  243.8    nan   0.18    11.4   0.72   0.68   0.82    0.0
172  23  256.3    nan   0.20    13.2   0.92   1.70   0.81    0.0
173  24  270.4    nan   0.22    15.6   0.86   1.81   1.29    0.0
174  25  283.0    nan   0.24    17.8   0.61   0.81   1.46    0.0
175  26  295.2    nan   0.26    19.4   0.67   1.92   0.80    0.0
176  27  306.9    nan   0.28    21.1   0.81   1.27   1.10    0.0
177  28  319.1    nan   0.31    23.2   0.82   2.07   1.02    0.0
178  29  331.8    nan   0.33    25.3   1.01   1.67   0.62    0.0
179  30  344.5    nan   0.36    28.0   0.86   1.87   1.22    0.0
180  31  356.9    nan   0.38    30.2   1.10   1.00   1.47    0.0
181  32  369.4    nan   0.41    33.1   1.03   2.36   1.02    0.0
182  33  382.1    nan   0.43    35.7   1.64   2.39   0.80    0.0
183  34  395.9    nan   0.46    40.0   1.29   2.53   0.96    0.0
184  35  410.8    nan   0.48    43.3   0.45   2.07   0.88    0.0
185  36  422.7    nan   0.51    44.5   0.73   1.50   1.16    0.0
186  37  434.3    nan   0.54    46.4   0.44   2.43   1.31    0.0
187  38  443.9    nan   0.57    47.5   0.28   2.72   1.53    0.0
188  39  454.9    nan   0.60    48.2   0.61   2.74   0.76    0.0
189  40  468.8   0.60   0.63    49.8   1.04   2.66   1.22    0.0
190  41  483.4    nan   0.66    52.5   1.65   2.10   1.46    0.0
191  42  498.2    nan   0.70    56.8   1.88   2.70   1.36    0.0
192  43  513.8    nan   0.74    61.7   1.84   2.95   1.79    0.0
193  44  529.2    nan   0.78    66.4   2.33   1.94   2.12    0.0
194  45  545.9    nan   0.83    72.5   2.60   1.88   1.65    0.0
195  46  562.8    nan   0.88    79.2   2.01   2.94   1.18    0.0
196  47  579.5    nan   0.93    84.4   3.37   1.88   1.13    0.0
197  48  596.2    nan   0.99    93.2   2.49   2.46   0.53    0.0
198  49  611.9    nan   1.05    99.6   3.36   3.74   0.70    0.0
199  50  626.5    nan   1.11   108.3   3.37   3.60   1.49    0.0
200  51  642.2    nan   1.18   117.1   3.32   3.95   1.92    0.0
201  52  658.5   1.30   1.24   125.7   2.92   3.92   2.46    0.0
202  53  674.4    nan   1.31   133.2   4.53   3.96   2.15    0.0
203  54  691.5    nan   1.38   145.0   4.28   1.97   1.32    0.0
204  55  707.8    nan   1.45   156.1   4.24   1.15   1.19    0.0
205  56  724.8    nan   1.51   167.1   4.50   4.28   0.79    0.0
206  57  742.1    nan   1.58   178.7   4.66   4.79   1.75    0.0
207  58  759.9    nan   1.65   190.8   4.28   2.39   1.83    0.0
208  59  776.6   1.80   1.72   201.9   4.34   1.55   1.30    0.0
209  60  793.3    nan   1.79   213.2   4.27   4.80   1.84    0.0
210  61  810.6    nan   1.85   224.2   4.74   5.40   1.23    0.0
211  62  828.4    nan   1.92   236.5   4.70   2.34   1.71    0.0
212  63  844.8    nan   1.98   248.7   5.59   5.89   1.02    0.0
213  64  862.4    nan   2.03   263.2   3.97   5.12   2.35    0.0
214  65  879.5    nan   2.08   273.5   3.16   4.75   2.02    0.0
215  66  895.0    nan   2.13   281.7   4.31   6.23   1.57    0.0
216  67  910.3   2.00   2.18   292.8   5.91   6.11   1.95    0.0
217  68  927.2    nan   2.21   308.2   4.69   6.64   1.81    0.0
218  69  944.1    nan   2.25   320.3   6.40   6.23   2.44    0.0
219  70  959.5    nan   2.27   336.9   6.72   2.96   2.40    0.0
220  71  975.9    nan   2.30   354.3   2.70   6.74   1.35    0.0
