The parameter values used or converged in the simulated result:
Initial LAI  =   0.03744
Parameter a = 0.00040726
Parameter b = 0.0053678
Parameter c =  0.035689

Estimated grain yield (kg/ha) :
    0.0

DOY  DAP   GDD   OLAI    LAI    AGDM    NPP    GPP    ETc    PGP
149   0    0.0    nan   0.07     0.0   0.19   0.00   0.00    0.0
150   1   10.6    nan   0.07     0.5   0.05   1.08   0.85    0.0
151   2   18.4    nan   0.08     0.6   0.25   1.47   0.89    0.0
152   3   28.9    nan   0.08     1.3   0.29   1.44   0.93    0.0
153   4   41.8    nan   0.09     2.0   0.35   0.80   0.87    0.0
154   5   53.4    nan   0.10     2.9   0.40   1.53   0.68    0.0
155   6   67.9    nan   0.11     4.0   0.42   1.59   0.85    0.0
156   7   80.2    nan   0.13     5.1   0.10   1.58   1.04    0.0
157   8   88.0    nan   0.15     5.3   0.35   1.36   1.03    0.0
158   9   96.8    nan   0.16     6.2   0.38   1.53   0.99    0.0
159  10  104.8    nan   0.18     7.2   0.34   1.29   1.10    0.0
160  11  112.7    nan   0.21     8.1   0.72   1.45   0.67    0.0
161  12  122.7    nan   0.23    10.0   0.68   1.15   0.61    0.0
162  13  132.9    nan   0.26    11.7   0.95   1.84   0.45    0.0
163  14  145.8    nan   0.30    14.2   0.72   1.59   0.83    0.0
164  15  157.0    nan   0.34    16.0   0.60   1.77   0.98    0.0
165  16  167.7   0.31   0.38    17.6   0.55   1.63   0.77    0.0
166  17  174.9    nan   0.43    19.0   0.95   2.10   0.78    0.0
167  18  184.9    nan   0.48    21.5   1.44   2.01   0.82    0.0
168  19  196.5    nan   0.54    25.2   1.25   2.25   1.05    0.0
169  20  208.9    nan   0.61    28.5   2.00   2.25   0.89    0.0
170  21  222.8    nan   0.68    33.7   1.90   1.74   1.09    0.0
171  22  237.2    nan   0.76    38.6   2.71   1.59   1.21    0.0
172  23  253.2    nan   0.84    45.6   2.66   1.93   1.14    0.0
173  24  269.7    nan   0.93    52.5   3.67   1.18   1.19    0.0
174  25  285.2    nan   1.03    62.0   1.44   2.93   0.75    0.0
175  26  299.4    nan   1.14    65.8   2.07   3.27   1.00    0.0
