The parameter values used or converged in the simulated result:
Initial LAI  =  0.028165
Parameter a =   0.75235
Parameter b = 0.0016555
Parameter c = 0.00031144

Estimated grain yield (kg/ha) :
 3021.2

DOY  DAP   GDD   OLAI    LAI    AGDM    NPP    GPP    ETc    PGP
122   0    0.0    nan   0.04     0.0   0.12   0.00   0.00    0.0
123   1    1.7    nan   0.04     0.3   0.07   1.07   0.45    0.0
124   2    5.9    nan   0.04     0.5   0.06   1.28   0.68    0.0
125   3   11.0    nan   0.04     0.7   0.10   0.79   0.33    0.0
126   4   16.8    nan   0.04     0.9   0.10   1.28   0.49    0.0
127   5   19.4    nan   0.05     1.2   0.18   1.25   0.23    0.0
128   6   22.1    nan   0.05     1.6   0.19   1.28   0.21    0.0
129   7   25.3    nan   0.05     2.1   0.18   1.29   0.19    0.0
130   8   30.6    nan   0.06     2.6   0.23   1.03   0.27    0.0
131   9   34.2    nan   0.06     3.2   0.16   1.21   0.50    0.0
132  10   34.2    nan   0.07     3.6   0.23   1.11   0.57    0.0
133  11   34.6    nan   0.07     4.2   0.26   1.37   0.52    0.0
134  12   36.9    nan   0.08     4.9   0.30   1.38   0.26    0.0
135  13   40.7    nan   0.08     5.7   0.31   1.35   0.10    0.0
136  14   44.7    nan   0.09     6.5   0.40   1.32   0.34    0.0
137  15   49.9    nan   0.10     7.5   0.29   1.44   0.54    0.0
138  16   55.9    nan   0.10     8.2   0.05   1.45   0.45    0.0
139  17   61.2    nan   0.11     8.4   0.41   1.18   0.59    0.0
140  18   67.1    nan   0.12     9.5   0.49   1.24   0.85    0.0
141  19   72.4    nan   0.13    10.7   0.55   0.30   0.95    0.0
142  20   78.9    nan   0.13    12.1   0.32   1.54   0.91    0.0
143  21   87.1    nan   0.14    13.0   0.08   1.51   0.64    0.0
144  22   91.1    nan   0.15    13.2   0.10   1.55   0.53    0.0
145  23   93.7    nan   0.16    13.4   0.26   1.39   0.71    0.0
146  24   98.1    nan   0.17    14.1   0.34   1.62   0.90    0.0
147  25  101.9    nan   0.18    15.0   0.54   1.45   0.72    0.0
148  26  105.9    nan   0.19    16.4   0.41   1.21   0.76    0.0
149  27  110.9    nan   0.21    17.5   0.61   1.61   0.89    0.0
150  28  116.8    nan   0.22    19.1   0.73   1.45   0.75    0.0
151  29  122.9    nan   0.24    21.0   0.65   1.41   0.86    0.0
152  30  128.2    nan   0.26    22.7   1.08   1.42   0.97    0.0
153  31  132.8    nan   0.28    25.5   1.15   1.42   1.07    0.0
154  32  139.6    nan   0.30    28.4   1.13   1.91   1.00    0.0
155  33  148.0    nan   0.33    31.4   1.37   1.96   0.48    0.0
156  34  157.0    nan   0.35    34.9   1.41   1.91   0.47    0.0
157  35  165.9    nan   0.38    38.6   1.54   2.08   0.74    0.0
158  36  177.0    nan   0.41    42.6   1.66   2.16   0.62    0.0
