Mean yield (ton/ha):273.704  std:221.852
 Max yield (ton/ha):826.467
 Min yield (ton/ha):  0.000

DOY  OLAI  Std_OLAI  SLAI  Std_SLAI     AGDM  Std_AGDM   NPP   GPP   ETc   PGP
122   nan       nan   0.0      0.04      0.0      0.00   0.1   0.0   0.0   0.0
123   nan       nan   0.0      0.04      0.3      0.32   0.1   1.1   0.5   0.0
124   nan       nan   0.0      0.04      0.5      0.52   0.1   1.3   0.7   0.0
125   nan       nan   0.0      0.04      0.7      0.68   0.1   0.9   0.4   0.0
126   nan       nan   0.0      0.04      0.9      0.94   0.1   1.3   0.5   0.0
127   nan       nan   0.0      0.05      1.2      1.20   0.2   1.2   0.2   0.0
128   nan       nan   0.0      0.05      1.7      1.65   0.2   1.3   0.2   0.0
129   nan       nan   0.1      0.05      2.1      2.12   0.2   1.3   0.2   0.0
130   nan       nan   0.1      0.05      2.3      2.56   0.2   0.9   0.2   0.0
131   nan       nan   0.1      0.06      2.9      3.09   0.2   1.2   0.5   0.0
132   nan       nan   0.1      0.06      3.3      3.47   0.2   1.2   0.5   0.0
133   nan       nan   0.1      0.07      3.8      3.98   0.2   1.3   0.5   0.0
134   nan       nan   0.1      0.07      4.4      4.56   0.3   1.3   0.3   0.0
135   nan       nan   0.1      0.07      5.2      5.24   0.3   1.3   0.1   0.0
136   nan       nan   0.1      0.08      5.9      5.90   0.4   1.3   0.3   0.0
137   nan       nan   0.1      0.08      6.8      6.74   0.3   1.4   0.5   0.0
138   nan       nan   0.1      0.10      6.9      7.33   0.0   1.3   0.4   0.0
139   nan       nan   0.1      0.10      7.0      7.43   0.3   1.2   0.5   0.0
140   nan       nan   0.1      0.11      7.9      8.24   0.4   1.3   0.8   0.0
141   nan       nan   0.1      0.11      9.0      9.20   0.5   0.5   0.8   0.0
142   nan       nan   0.1      0.12     10.2     10.26   0.2   1.5   0.8   0.0
143   nan       nan   0.1      0.12     10.8     10.85   0.1   1.4   0.5   0.0
144   nan       nan   0.1      0.13     11.0     11.00   0.1   1.5   0.5   0.0
145   nan       nan   0.1      0.14     11.2     11.19   0.2   1.4   0.6   0.0
